#chr	start	end	gene_id
chr1	6393766	6393767	ACOT7
chr1	6424669	6424670	HES2
chr1	6424775	6424776	ESPN
chr1	6429895	6429896	MIR4252
chr1	6447005	6447006	ENSG00000231868
chr1	6466174	6466175	TNFRSF25
chr1	6520073	6520074	PLEKHG5
chr1	6540853	6540854	RNU6-731P
chr1	6547904	6547905	ENSG00000229519
chr1	6554512	6554513	NOL9
chr1	6555306	6555307	TAS1R1
chr1	6579993	6579994	ZBTB48
chr1	6613730	6613731	PHF13
chr1	6614606	6614607	KLHL21
chr1	6624867	6624868	THAP3
chr1	6701923	6701924	DNAJC11
chr1	6724636	6724637	LINC01672
chr1	6767953	6767954	ENSG00000284744
chr1	6784842	6784843	CAMTA1-DT
chr1	6785453	6785454	CAMTA1
chr1	6834617	6834618	ENSG00000227950
chr1	7014278	7014279	ENSG00000237365
chr1	7219359	7219360	RNU1-8P
chr1	7368941	7368942	CAMTA1-IT1
chr1	7389753	7389754	CAMTA1-AS2
chr1	7441553	7441554	CAMTA1-AS1
chr1	7694843	7694844	ENSG00000270171
chr1	7698871	7698872	ENSG00000270035
chr1	7700969	7700970	ENSG00000269978
chr1	7771295	7771296	VAMP3
chr1	7776382	7776383	ENSG00000269925
chr1	7784290	7784291	PER3
chr1	7827341	7827342	ENSG00000236266
chr1	7853511	7853512	UTS2
chr1	7942371	7942372	ENSG00000270330
chr1	7943164	7943165	TNFRSF9
chr1	7954290	7954291	PARK7
chr1	7982982	7982983	Y_RNA
chr1	7991133	7991134	ENSG00000284747
chr1	7999933	7999934	ENSG00000284716
chr1	8026308	8026309	ERRFI1
chr1	8026737	8026738	ERRFI1-DT
chr1	8058462	8058463	RPL7AP18
chr1	8189823	8189824	ENSG00000229305
chr1	8191691	8191692	ENSG00000288816
chr1	8201517	8201518	LINC01714
chr1	8206596	8206597	RNU1-7P
chr1	8220528	8220529	ENSG00000233645
chr1	8292262	8292263	RNU6-991P
chr1	8318113	8318114	SLC45A1
chr1	8328066	8328067	Y_RNA
chr1	8424644	8424645	RERE-AS1
chr1	8511918	8511919	ENSG00000221083
chr1	8512652	8512653	ENSG00000270282
chr1	8750429	8750430	RPL7P11
chr1	8786912	8786913	RPL7P7
chr1	8796672	8796673	Y_RNA
chr1	8798474	8798475	ENSG00000226545
chr1	8807050	8807051	ENSG00000228423
chr1	8831006	8831007	RPL23AP19
chr1	8848920	8848921	RERE
chr1	8866589	8866590	MIR6728
chr1	8878834	8878835	ENO1-AS1
chr1	8879189	8879190	ENO1
chr1	8883532	8883533	RNU6-304P
chr1	8893408	8893409	HMGN2P17
chr1	8907743	8907744	ENSG00000232208
chr1	8909741	8909742	ENSG00000232663
chr1	8945866	8945867	CA6
chr1	8971243	8971244	ENSG00000290109
chr1	8979873	8979874	RN7SL451P
chr1	9026422	9026423	SLC2A7
chr1	9082695	9082696	ENSG00000252404
chr1	9088477	9088478	SLC2A5
chr1	9129101	9129102	GPR157
chr1	9151776	9151777	MIR34A
chr1	9162944	9162945	ENSG00000289914
chr1	9182003	9182004	LNCTAM34A
chr1	9198905	9198906	MIR34AHG
chr1	9234773	9234774	H6PD
chr1	9292893	9292894	SPSB1
chr1	9422861	9422862	ENSG00000284652
chr1	9437777	9437778	RNA5SP40
chr1	9440563	9440564	LINC02606
chr1	9503470	9503471	ENSG00000235263
chr1	9539464	9539465	SLC25A33
chr1	9576426	9576427	ENSG00000231181
chr1	9588910	9588911	TMEM201
chr1	9629888	9629889	PIK3CD
chr1	9654585	9654586	PIK3CD-AS1
chr1	9662625	9662626	ENSG00000233268
chr1	9687582	9687583	PIK3CD-AS2
chr1	9780821	9780822	MZT1P1
chr1	9823983	9823984	CLSTN1
chr1	9828270	9828271	ENSG00000280113
chr1	9848317	9848318	ENSG00000223989
chr1	9900613	9900614	ENSG00000285701
chr1	9910335	9910336	CTNNBIP1
chr1	9942922	9942923	ENSG00000228150
chr1	9943406	9943407	LZIC
chr1	9943427	9943428	NMNAT1
chr1	9947317	9947318	RN7SKP269
chr1	9960786	9960787	TMEM274P
chr1	9967380	9967381	MIR5697
chr1	9983140	9983141	ENSG00000241326
chr1	9997205	9997206	RBP7
chr1	10032831	10032832	UBE4B
chr1	10054780	10054781	ENSG00000224340
chr1	10058670	10058671	PGAM1P11
chr1	10163267	10163268	RNU6-828P
chr1	10210569	10210570	KIF1B
chr1	10227717	10227718	ENSG00000264881
chr1	10298965	10298966	RNU6-37P
chr1	10306464	10306465	RN7SL731P
chr1	10387149	10387150	ENSG00000284735
chr1	10395415	10395416	ENSG00000284642
chr1	10398591	10398592	PGD
chr1	10430101	10430102	CENPS-CORT
chr1	10430432	10430433	CENPS
chr1	10430676	10430677	ENSG00000271989
chr1	10450030	10450031	CORT
chr1	10458554	10458555	ENSG00000203469
chr1	10472287	10472288	PEX14
chr1	10472528	10472529	DFFA
chr1	10616451	10616452	ENSG00000287727
chr1	10616835	10616836	RN7SL614P
chr1	10639240	10639241	ENSG00000272078
chr1	10796649	10796650	CASZ1
chr1	10895760	10895761	HSPE1P24
chr1	10982075	10982076	C1orf127
chr1	10991796	10991797	CFL1P6
chr1	11012343	11012344	TARDBP
chr1	11047238	11047239	MASP2
chr1	11060019	11060020	SRM
chr1	11068470	11068471	ENSG00000226849
chr1	11099429	11099430	EXOSC10-AS1
chr1	11099868	11099869	EXOSC10
chr1	11143897	11143898	MTOR-AS1
chr1	11152349	11152350	RNU6-537P
chr1	11189354	11189355	ANGPTL7
chr1	11226253	11226254	RNU6-291P
chr1	11232962	11232963	RPL39P6
chr1	11262555	11262556	MTOR
chr1	11273197	11273198	UBIAD1
chr1	11279350	11279351	UBE2V2P3
chr1	11319092	11319093	ENSG00000284646
chr1	11425820	11425821	MTCYBP45
chr1	11479154	11479155	DISP3
chr1	11502015	11502016	ENSG00000285833
chr1	11609467	11609468	LINC01647
chr1	11623557	11623558	ENSG00000284708
chr1	11654374	11654375	FBXO44
chr1	11655784	11655785	FBXO2
chr1	11664199	11664200	FBXO6
chr1	11691709	11691710	DRAXIN
chr1	11691810	11691811	MAD2L2
chr1	11736083	11736084	AGTRAP
chr1	11761786	11761787	C1orf167
chr1	11779618	11779619	C1orf167-AS1
chr1	11806095	11806096	CLCN6
chr1	11806454	11806455	MTHFR
chr1	11843811	11843812	ENSG00000276470
chr1	11845548	11845549	ENSG00000278852
chr1	11847441	11847442	ENSG00000275915
chr1	11848344	11848345	NPPA
chr1	11858944	11858945	NPPB
chr1	11877769	11877770	SBF1P2
chr1	11907939	11907940	ENSG00000285646
chr1	11908151	11908152	RNU5E-1
chr1	11909926	11909927	RNU5E-4P
chr1	11926427	11926428	KIAA2013
chr1	11934204	11934205	PLOD1
chr1	11980126	11980127	ENSG00000287384
chr1	11980180	11980181	MFN2
chr1	12017307	12017308	ENSG00000270914
chr1	12019465	12019466	MIIP
chr1	12024123	12024124	Y_RNA
chr1	12029157	12029158	MIR6729
chr1	12037013	12037014	RN7SL649P
chr1	12063302	12063303	TNFRSF8
chr1	12077983	12077984	RNU6-777P
chr1	12080546	12080547	RPL23AP89
chr1	12092263	12092264	ENSG00000285604
chr1	12166942	12166943	MIR7846
chr1	12166990	12166991	TNFRSF1B
chr1	12191712	12191713	MIR4632
chr1	12221108	12221109	RPL10P17
chr1	12221270	12221271	SNORA70
chr1	12230029	12230030	VPS13D
chr1	12507245	12507246	SNORA59A
chr1	12525715	12525716	LINC02766
chr1	12570071	12570072	RNU6ATAC18P
chr1	12579022	12579023	MIR6730
chr1	12618209	12618210	DHRS3
chr1	12618388	12618389	ENSG00000288927
chr1	12619979	12619980	ENSG00000272482
chr1	12644084	12644085	AADACL4
chr1	12692908	12692909	ENSG00000226166
chr1	12716109	12716110	AADACL3
chr1	12746199	12746200	CFAP107
chr1	12773737	12773738	PRAMEF12
chr1	12791396	12791397	PRAMEF1
chr1	12823158	12823159	LINC01784
chr1	12831409	12831410	PRAMEF11
chr1	12841356	12841357	PRAMEF30P
chr1	12848719	12848720	HNRNPCL1
chr1	12857085	12857086	PRAMEF2
chr1	12886200	12886201	PRAMEF4
chr1	12898269	12898270	PRAMEF10
chr1	12916609	12916610	PRAMEF7
chr1	12922553	12922554	RNU6-1072P
chr1	12926161	12926162	PRAMEF29P
chr1	12947579	12947580	PRAMEF6
chr1	13029338	13029339	PRAMEF28P
chr1	13056574	13056575	PRAMEF27
chr1	13060768	13060769	HNRNPCL3
chr1	13068676	13068677	PRAMEF25
chr1	13097970	13097971	PRAMEF34P
chr1	13105688	13105689	PRAMEF35P
chr1	13116853	13116854	HNRNPCL2
chr1	13128817	13128818	PRAMEF36P
chr1	13129792	13129793	ENSG00000290772
chr1	13147459	13147460	ENSG00000233336
chr1	13158115	13158116	PRAMEF26
chr1	13165630	13165631	HNRNPCL4
chr1	13171847	13171848	PRAMEF9
chr1	13201408	13201409	PRAMEF13
chr1	13226153	13226154	PRAMEF18
chr1	13245862	13245863	PRAMEF31P
chr1	13254197	13254198	PRAMEF5
chr1	13275626	13275627	PRAMEF32P
chr1	13279230	13279231	RNU6-771P
chr1	13285136	13285137	PRAMEF8
chr1	13303538	13303539	PRAMEF33
chr1	13315580	13315581	PRAMEF15
chr1	13324038	13324039	ENSG00000228229
chr1	13347133	13347134	PRAMEF14
chr1	13371946	13371947	PRAMEF19
chr1	13389631	13389632	PRAMEF17
chr1	13410449	13410450	PRAMEF20
chr1	13513219	13513220	ENSG00000259961
chr1	13514002	13514003	LRRC38
chr1	13555000	13555001	BRWD1P1
chr1	13583464	13583465	PDPN
chr1	13623283	13623284	RNA5SP41
chr1	13659909	13659910	ENSG00000237445
chr1	13696198	13696199	ENSG00000253085
chr1	13700187	13700188	PRDM2
chr1	13757777	13757778	ENSG00000289380
chr1	13892791	13892792	KAZN
chr1	14124334	14124335	RNU6-1265P
chr1	14304444	14304445	ENSG00000231606
chr1	14419972	14419973	KAZN-AS1
chr1	14692612	14692613	TBCAP2
chr1	14777726	14777727	ENSG00000287756
chr1	15152531	15152532	TMEM51
chr1	15153617	15153618	TMEM51-AS1
chr1	15171316	15171317	TMEM51-AS2
chr1	15192844	15192845	MFFP1
chr1	15226372	15226373	ZBTB2P1
chr1	15236520	15236521	FHAD1
chr1	15335463	15335464	ENSG00000236045
chr1	15343875	15343876	FHAD1-AS1
chr1	15409432	15409433	EFHD2-AS1
chr1	15409887	15409888	EFHD2
chr1	15438441	15438442	CTRC
chr1	15456727	15456728	CELA2A
chr1	15465908	15465909	CELA2B
chr1	15526533	15526534	CASP9
chr1	15526812	15526813	DNAJC16
chr1	15542164	15542165	SCARNA21B
chr1	15565955	15565956	ENSG00000272510
chr1	15585050	15585051	AGMAT
chr1	15603625	15603626	ENSG00000237301
chr1	15604596	15604597	CHCHD2P6
chr1	15608144	15608145	RNU7-179P
chr1	15614866	15614867	CD24P1
chr1	15617457	15617458	DDI2
chr1	15659712	15659713	RSC1A1
chr1	15683127	15683128	ENSG00000271742
chr1	15684319	15684320	PLEKHM2
chr1	15736257	15736258	SLC25A34
chr1	15736895	15736896	ENSG00000237938
chr1	15742498	15742499	TMEM82
chr1	15749895	15749896	SLC25A34-AS1
chr1	15756606	15756607	FBLIM1
chr1	15792795	15792796	RPL12P14
chr1	15809347	15809348	UQCRHL
chr1	15828231	15828232	ENSG00000178715
chr1	15836094	15836095	SPEN
chr1	15848146	15848147	SPEN-AS1
chr1	15917907	15917908	ENSG00000270620
chr1	15969631	15969632	ENSG00000234607
chr1	15976131	15976132	ZBTB17
chr1	15988181	15988182	ENSG00000231353
chr1	15989374	15989375	ENSG00000275503
chr1	15989870	15989871	TBC1D3P6
chr1	16004235	16004236	SRARP
chr1	16006670	16006671	ENSG00000233078
chr1	16018874	16018875	CLCNKA
chr1	16019593	16019594	HSPB7
chr1	16040028	16040029	FAM131C2P
chr1	16040251	16040252	CLCNKB
chr1	16073650	16073651	FAM131C
chr1	16155175	16155176	EPHA2-AS1
chr1	16156068	16156069	EPHA2
chr1	16159265	16159266	ENSG00000224621
chr1	16197853	16197854	ARHGEF19-AS1
chr1	16212651	16212652	ARHGEF19
chr1	16217424	16217425	ENSG00000291077
chr1	16228026	16228027	ANO7L1
chr1	16231334	16231335	ENSG00000288398
chr1	16237182	16237183	CPLANE2
chr1	16241397	16241398	MT1XP1
chr1	16352479	16352480	FBXO42
chr1	16352574	16352575	SZRD1
chr1	16369529	16369530	RPL22P3
chr1	16437423	16437424	SPATA21
chr1	16440720	16440721	NECAP2
chr1	16460947	16460948	LINC01772
chr1	16491306	16491307	CROCCP3
chr1	16499256	16499257	CROCCP3
chr1	16514284	16514285	RNU1-1
chr1	16514644	16514645	ENSG00000261135
chr1	16515033	16515034	ENSG00000285853
chr1	16520693	16520694	ENSG00000224174
chr1	16534223	16534224	RNU1-6P
chr1	16535648	16535649	LINC01783
chr1	16552530	16552531	PDE4DIPP8
chr1	16613561	16613562	NBPF1
chr1	16617390	16617391	ENSG00000271732
chr1	16643108	16643109	ENSG00000283773
chr1	16644685	16644686	CROCCP2
chr1	16645621	16645622	MST1P2
chr1	16656878	16656879	ENSG00000282143
chr1	16657231	16657232	CROCCP2
chr1	16666947	16666948	RNU1-3
chr1	16686054	16686055	EIF1AXP1
chr1	16688748	16688749	ENSG00000280114
chr1	16692308	16692309	ENSG00000290849
chr1	16701545	16701546	ENSG00000279151
chr1	16720156	16720157	ESPNP
chr1	16740272	16740273	CROCC
chr1	16740279	16740280	ENSG00000290850
chr1	16740515	16740516	RNU1-4
chr1	16750232	16750233	CROCCP4
chr1	16750588	16750589	ENSG00000282740
chr1	16764479	16764480	MST1L
chr1	16770236	16770237	ENSG00000290851
chr1	16853128	16853129	ENSG00000223643
chr1	16855406	16855407	PDE4DIPP9
chr1	16859020	16859021	MIR3675
chr1	16870944	16870945	ENSG00000228549
chr1	16873707	16873708	RNU1-5P
chr1	16889094	16889095	ENSG00000235241
chr1	16889724	16889725	ENSG00000238142
chr1	16895979	16895980	RNU1-2
chr1	16904775	16904776	ENSG00000272426
chr1	16905198	16905199	ENSG00000290122
chr1	16976301	16976302	ENSG00000286898
chr1	16978925	16978926	ENSG00000226526
chr1	16980631	16980632	MFAP2
chr1	17011756	17011757	ENSG00000288636
chr1	17011927	17011928	ATP13A2
chr1	17054031	17054032	SDHB
chr1	17119450	17119451	PADI2
chr1	17189782	17189783	LINC02783
chr1	17201732	17201733	ENSG00000282843
chr1	17205127	17205128	PADI1
chr1	17249097	17249098	PADI3
chr1	17277888	17277889	MIR3972
chr1	17308194	17308195	PADI4
chr1	17372195	17372196	PADI6
chr1	17406759	17406760	RCC2-AS1
chr1	17439327	17439328	ENSG00000290096
chr1	17439676	17439677	RCC2
chr1	17539697	17539698	ARHGEF10L
chr1	17717624	17717625	LINC02810
chr1	17755332	17755333	ACTL8
chr1	18015711	18015712	ENSG00000284653
chr1	18065656	18065657	LINC01654
chr1	18107797	18107798	IGSF21
chr1	18109388	18109389	ENSG00000280222
chr1	18179345	18179346	IGSF21-AS1
chr1	18385828	18385829	ENSG00000225387
chr1	18480929	18480930	KLHDC7A
chr1	18513117	18513118	DYNLL1P3
chr1	18595413	18595414	ENSG00000225478
chr1	18630845	18630846	PAX7
chr1	18859659	18859660	TAS1R2
chr1	18883274	18883275	MIR4695
chr1	18897147	18897148	MIR1290
chr1	18902723	18902724	ALDH4A1
chr1	18956675	18956676	IFFO2
chr1	19075510	19075511	ENSG00000272084
chr1	19210265	19210266	UBR4
chr1	19210347	19210348	EMC1-AS1
chr1	19251551	19251552	EMC1
chr1	19251804	19251805	MRTO4
chr1	19262306	19262307	ENSG00000286064
chr1	19274193	19274194	AKR7L
chr1	19288769	19288770	AKR7A3
chr1	19297079	19297080	ENSG00000270728
chr1	19305181	19305182	RNU6-1099P
chr1	19312143	19312144	AKR7A2
chr1	19312325	19312326	SLC66A1
chr1	19424383	19424384	RN7SL277P
chr1	19484402	19484403	MICOS10
chr1	19485538	19485539	CAPZB
chr1	19510592	19510593	RNU4-28P
chr1	19596831	19596832	MICOS10-DT
chr1	19596978	19596979	NBL1
chr1	19597066	19597067	MICOS10-NBL1
chr1	19608113	19608114	ENSG00000226396
chr1	19664874	19664875	HTR6
chr1	19799944	19799945	TMCO4
chr1	19814366	19814367	RNF186-AS1
chr1	19815282	19815283	RNF186
chr1	19882394	19882395	OTUD3
chr1	19923616	19923617	PLA2G2E
chr1	19970968	19970969	RN7SL304P
chr1	19980415	19980416	PLA2G2A
chr1	20028178	20028179	PLA2G5
chr1	20119565	20119566	PLA2G2D
chr1	20139322	20139323	PLA2G2F
chr1	20154170	20154171	ENSG00000227066
chr1	20186095	20186096	UBXN10
chr1	20186517	20186518	PLA2G2C
chr1	20243094	20243095	LINC01757
chr1	20272017	20272018	ENSG00000284710
chr1	20290874	20290875	VWA5B1
chr1	20323186	20323187	ENSG00000226664
chr1	20413252	20413253	ENSG00000226487
chr1	20431233	20431234	LINC01141
chr1	20476221	20476222	ENSG00000284641
chr1	20480396	20480397	ENSG00000284743
chr1	20486209	20486210	CAMK2N1
chr1	20487404	20487405	ENSG00000289402
chr1	20508150	20508151	MUL1
chr1	20525988	20525989	RPS4XP4
chr1	20552572	20552573	FAM43B
chr1	20589085	20589086	CDA
chr1	20633457	20633458	PINK1
chr1	20633678	20633679	MIR6084
chr1	20652192	20652193	PINK1-AS
chr1	20661543	20661544	DDOST
chr1	20694012	20694013	ENSG00000235432
chr1	20718016	20718017	KIF17
chr1	20732836	20732837	SH2D5
chr1	20732879	20732880	ENSG00000233069
chr1	20787322	20787323	HP1BP3
chr1	20841240	20841241	RNU7-200P
chr1	20988431	20988432	MIR1256
chr1	21003933	21003934	RPS15AP6
chr1	21073752	21073753	ENSG00000236073
chr1	21161474	21161475	HSPE1P27
chr1	21177053	21177054	ENSG00000287192
chr1	21177284	21177285	EIF4G3
chr1	21266081	21266082	ENSG00000236936
chr1	21293289	21293290	ECE1-AS1
chr1	21345571	21345572	ECE1
chr1	21397986	21397987	PPP1R11P1
chr1	21413292	21413293	PDE4DIPP10
chr1	21415897	21415898	ENSG00000236009
chr1	21427966	21427967	NBPF2P
chr1	21428302	21428303	HS6ST1P1
chr1	21434317	21434318	CROCCP5
